"Network","Rule_set","Distance_km","Rank","mean_degree","mean_betweenness","mean_closeness","mean_harmonic","mean_eigenvector"
"Rule_B_550km","Rule_B",550,1,2.79310344827586,0.0012804807550292,0.491482235803899,0.505348020434227,0.246015729434225
"Rule_B_550km","Rule_B",550,2,24.5,0.201170126170126,0.747727272727273,0.819444444444444,0.819658785865463
"Rule_B_550km","Rule_B",550,3,23.5,0.264197530864198,0.713276836158192,0.793981481481481,0.747462132825957
"Rule_B_550km","Rule_B",550,4,3,0.00224463954622685,0.506452585557063,0.51929012345679,0.258029427871282
"Rule_B_550km","Rule_B",550,NA,0,0,NA,0,1.77258328015894e-19
"Rule_B_600km","Rule_B",600,1,2.96551724137931,0.000782182604842703,0.503309901148578,0.514846743295019,0.258069319621039
"Rule_B_600km","Rule_B",600,2,26.5,0.217579365079365,0.78397212543554,0.847222222222222,0.860013642036883
"Rule_B_600km","Rule_B",600,3,24.5,0.22817932728647,0.745011086474501,0.814814814814815,0.780609414461844
"Rule_B_600km","Rule_B",600,4,3.33333333333333,0.00108654572940287,0.519979155605372,0.529320987654321,0.289228415677227
"Rule_B_600km","Rule_B",600,NA,0,0,NA,0,0
"Rule_B_650km","Rule_B",650,1,3.3448275862069,0.00037783279228733,0.520935636328198,0.52985312899106,0.283981138179436
"Rule_B_650km","Rule_B",650,2,28.5,0.209657522429262,0.825109649122807,0.875,0.892160605683924
"Rule_B_650km","Rule_B",650,3,28.5,0.20479641131815,0.829152731326644,0.877314814814815,0.893269697339015
"Rule_B_650km","Rule_B",650,4,3.66666666666667,0.00046827426622823,0.527664706769184,0.537037037037037,0.311510601132995
"Rule_B_650km","Rule_B",650,NA,0,0,NA,0,0
"Rule_C_100km","Rule_C",100,1,0.0344827586206897,0,1,0.000957854406130268,0.0344827586206897
"Rule_C_100km","Rule_C",100,2,0.5,0,1,0.0138888888888889,0.5
"Rule_C_100km","Rule_C",100,3,0,0,NA,0,0
"Rule_C_100km","Rule_C",100,4,0,0,NA,0,0
"Rule_C_100km","Rule_C",100,NA,0,0,NA,0,0
"Rule_C_150km","Rule_C",150,1,0.103448275862069,0,0.777777777777778,0.00383141762452107,0.0487659849094171
"Rule_C_150km","Rule_C",150,2,1.5,0.000793650793650794,1,0.0416666666666667,0.5
"Rule_C_150km","Rule_C",150,3,0.5,0,1,0.0138888888888889,0
"Rule_C_150km","Rule_C",150,4,0.333333333333333,0,1,0.00925925925925926,0
"Rule_C_150km","Rule_C",150,NA,0,0,NA,0,0
"Rule_C_200km","Rule_C",200,1,0.206896551724138,0,0.55,0.0138888888888889,0.0498710952721444
"Rule_C_200km","Rule_C",200,2,3.5,0.00952380952380952,0.916666666666667,0.104166666666667,0.5
"Rule_C_200km","Rule_C",200,3,1.5,0.00317460317460317,0.8125,0.0625,0.314025765079878
"Rule_C_200km","Rule_C",200,4,0.666666666666667,0,0.708333333333333,0.0324074074074074,0.100925212577332
"Rule_C_200km","Rule_C",200,NA,0,0,NA,0,1.2816267395377e-18
"Rule_C_250km","Rule_C",250,1,0.517241379310345,0,0.50812324929972,0.0727969348659004,0.103448275862069
"Rule_C_250km","Rule_C",250,2,8.5,0.0626984126984127,0.916666666666667,0.25,0.5
"Rule_C_250km","Rule_C",250,3,2,0.0142857142857143,0.526315789473684,0.162037037037037,0
"Rule_C_250km","Rule_C",250,4,0.666666666666667,0,0.357142857142857,0.0756172839506173,1.02219561112225e-19
"Rule_C_250km","Rule_C",250,NA,0,0,NA,0,3.06658683336675e-19
"Rule_C_300km","Rule_C",300,1,0.724137931034483,0,0.504761904761905,0.134418901660281,0.124329354326344
"Rule_C_300km","Rule_C",300,2,11.5,0.112698412698413,0.928571428571429,0.333333333333333,0.5
"Rule_C_300km","Rule_C",300,3,2,0.0174603174603175,0.521739130434783,0.189814814814815,0
"Rule_C_300km","Rule_C",300,4,0.666666666666667,0,0.352941176470588,0.087962962962963,0
"Rule_C_300km","Rule_C",300,NA,0,0,NA,0,0
"Rule_C_350km","Rule_C",350,1,0.758620689655172,0,0.504511784511784,0.147828863346105,0.129022668509446
"Rule_C_350km","Rule_C",350,2,12,0.120634920634921,0.928571428571429,0.347222222222222,0.5
"Rule_C_350km","Rule_C",350,3,2.5,0.0158730158730159,0.546583850931677,0.199074074074074,0
"Rule_C_350km","Rule_C",350,4,1,0.000529100529100529,0.3875,0.0987654320987654,0
"Rule_C_350km","Rule_C",350,NA,0,0,NA,0,0
"Rule_C_400km","Rule_C",400,1,0.862068965517241,0.00996168582375479,0.35242135030046,0.250351213282248,0.175379396658639
"Rule_C_400km","Rule_C",400,2,13.5,0.418253968253968,0.500159489633174,0.516203703703703,0.769702611565991
"Rule_C_400km","Rule_C",400,3,2.5,0.0412698412698413,0.345731707317073,0.326388888888889,0.159475485163603
"Rule_C_400km","Rule_C",400,4,1,0.000529100529100529,0.26417445482866,0.163888888888889,0.0401965246696353
"Rule_C_400km","Rule_C",400,NA,0,0,NA,0,0
"Rule_C_450km","Rule_C",450,1,1.06896551724138,0.0069460734485365,0.382345398767179,0.341379310344828,0.207387560083305
"Rule_C_450km","Rule_C",450,2,17,0.482766439909297,0.542528735632184,0.626157407407407,0.932061505842261
"Rule_C_450km","Rule_C",450,3,3.5,0.094520030234316,0.446203127944225,0.444444444444444,0.323400167894017
"Rule_C_450km","Rule_C",450,4,1.33333333333333,0.00302343159486017,0.327549630423617,0.317746913580247,0.0891252343771113
"Rule_C_450km","Rule_C",450,NA,0,0,NA,0,5.10628298912328e-19
"Rule_C_500km","Rule_C",500,1,1.20689655172414,0.0048440065681445,0.416568047337278,0.363425925925926,0.221075368239502
"Rule_C_500km","Rule_C",500,2,19,0.438888888888889,0.592592592592593,0.666666666666666,0.99410398735098
"Rule_C_500km","Rule_C",500,3,4,0.078968253968254,0.468717304875497,0.46412037037037,0.327003155662375
"Rule_C_500km","Rule_C",500,4,1.66666666666667,0.00158730158730159,0.360942760942761,0.345679012345679,0.106479068370155
"Rule_C_500km","Rule_C",500,NA,0,0,NA,0,3.26214940563789e-19
"Rule_C_550km","Rule_C",550,1,1.44827586206897,0.00203348126909566,0.462198845788589,0.392081736909323,0.219691671316506
"Rule_C_550km","Rule_C",550,2,22.5,0.392174881648566,0.683636363636364,0.731481481481481,0.955896400441348
"Rule_C_550km","Rule_C",550,3,4,0.0721018231854145,0.496538553354022,0.481481481481481,0.260928190610278
"Rule_C_550km","Rule_C",550,4,1.66666666666667,0.000983941334818528,0.360942760942761,0.345679012345679,0.0728935293228257
